EXPIRATION,SIG,WFO,MSG_TYPE,PHENOM,URL,PROD_TYPE,ISSUANCE,WARNID,EVENT
2020-01-07T04:48:00+00:00,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984520-3382135,Flood Warning,2020-01-03T08:43:00+00:00,O.EXT.KJAN.FL.W.0008.1578040980,"0008"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984521-3382136,Flood Warning,2020-01-03T07:30:00+00:00,O.EXT.KJAN.FL.W.0004.1578036600,"0004"
2020-01-06T20:00:00+00:00,W,KIWX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984513-3382128,Flood Warning,2020-01-02T15:00:00+00:00,O.EXT.KIWX.FL.W.0093.1577977200,"0093"
2020-01-06T02:00:00+00:00,W,KIWX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984514-3382129,Flood Warning,2020-01-02T15:00:00+00:00,O.EXT.KIWX.FL.W.0091.1577977200,"0091"
2020-01-04T02:00:00+00:00,W,KIWX,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984515-3382130,Flood Warning,2020-01-02T15:00:00+00:00,O.EXT.KIWX.FL.W.0095.1577977200,"0095"
2020-01-05T14:10:00+00:00,W,KMEG,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984509-3382124,Flood Warning,2020-01-03T04:55:00+00:00,O.EXT.KMEG.FL.W.0002.1578027300,"0002"
,W,KMEG,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984507-3382122,Flood Warning,2020-01-02T14:57:00+00:00,O.CON.KMEG.FL.W.0183.1577977020,"0183"
2020-01-07T06:00:00+00:00,W,KMEG,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984508-3382123,Flood Warning,2020-01-03T07:55:00+00:00,O.EXT.KMEG.FL.W.0001.1578038100,"0001"
2020-01-07T18:00:00+00:00,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984510-3382125,Flood Warning,2020-01-03T14:00:00+00:00,O.EXT.KJAN.FL.W.0018.1578060000,"0018"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984511-3382126,Flood Warning,2020-01-03T07:12:00+00:00,O.EXT.KJAN.FL.W.0016.1578035520,"0016"
,W,KJAN,FLS,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984512-3382127,Flood Warning,2020-01-03T00:22:00+00:00,O.EXT.KJAN.FL.W.0017.1578010920,"0017"
2020-01-07T12:00:00+00:00,W,KGRB,FLW,FL,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984506-3382121,Flood Warning,2020-01-03T06:00:00+00:00,O.NEW.KGRB.FL.W.0001.1578031200,"0001"
2020-01-03T15:00:00+00:00,Y,PAFG,WSW,WC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984492-3382116,Wind Chill Advisory,2020-01-02T14:48:00+00:00,O.CON.PAFG.WC.Y.0022.1577976480,"0022"
2020-01-03T15:00:00+00:00,W,PAFG,WSW,BZ,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984496-3382120,Blizzard Warning,2020-01-02T14:48:00+00:00,O.CON.PAFG.BZ.W.0028.1577976480,"0028"
2020-01-05T03:00:00+00:00,Y,PAFG,WSW,WC,https://alerts-v2.weather.gov/products/NWS-IDP-PROD-3984495-3382119,Wind Chill Advisory,2020-01-02T14:48:00+00:00,O.CON.PAFG.WC.Y.0022.1577976480,"0022"
